date,open,close,high,low,amount
2024-04-25,771.65,761.82,771.68,753.23,6603.0
2024-04-26,763.08,778.71,787.36,763.08,14887.0
2024-04-29,777.31,783.07,799.12,768.91,24340.0
2024-04-30,788.17,797.58,810.57,782.63,15019.0
2024-05-06,808.02,819.64,842.38,804.13,28111.0
2024-05-07,819.28,823.17,828.13,811.27,11374.0
2024-05-08,823.51,815.05,824.91,808.11,8847.0
2024-05-09,816.51,816.17,821.99,810.91,11127.0
2024-05-10,815.95,809.0,818.91,802.51,8749.0
2024-05-13,799.71,780.11,803.63,763.25,30402.0
2024-05-14,774.0,771.15,782.57,764.71,17521.0
2024-05-15,774.09,774.87,781.53,766.11,10376.0
2024-05-16,774.87,776.41,784.53,766.41,11343.0
2024-05-17,774.51,786.13,789.21,770.78,13241.0
2024-05-20,786.13,778.15,802.51,774.84,17100.0
2024-05-21,774.51,773.02,776.35,767.79,8366.0
2024-05-22,773.02,763.98,774.2,758.46,10288.0
2024-05-23,763.25,753.98,766.78,749.59,8223.0
2024-05-24,752.58,736.93,752.61,735.36,13721.0
2024-05-27,738.11,739.79,746.51,733.91,11410.0
2024-05-28,738.58,731.86,743.37,729.82,8618.0
2024-05-29,729.01,727.41,737.27,724.11,8315.0
2024-05-30,726.35,722.82,732.23,716.66,9206.0
2024-05-31,726.85,740.07,744.41,722.06,15902.0
