date,open,close,high,low,amount
2023-02-15,384.31,387.1,389.13,384.31,209717.0
2023-02-16,387.1,401.59,408.19,386.59,1076729.0
2023-02-17,403.37,396.76,403.37,394.22,488594.0
2023-02-20,403.11,409.47,413.28,402.86,667737.0
2023-02-21,415.82,424.21,428.27,412.77,1207309.0
2023-02-22,422.68,422.94,424.21,414.04,621890.0
2023-02-23,421.66,418.36,422.43,417.34,301045.0
2023-02-24,417.34,412.52,418.11,409.97,349876.0
2023-02-27,416.07,420.39,423.44,409.47,616683.0
2023-02-28,420.65,424.46,425.99,416.58,414509.0
2023-03-01,424.46,424.46,431.07,420.9,523460.0
2023-03-02,424.46,423.7,425.73,421.66,175462.0
2023-03-03,425.48,441.49,444.54,424.21,785548.0
2023-03-06,443.27,440.98,443.27,433.1,534047.0
2023-03-07,439.71,428.78,445.05,426.24,448796.0
2023-03-08,427.26,430.05,433.1,426.49,265520.0
2023-03-09,431.07,430.31,433.61,428.02,171902.0
2023-03-10,427.76,421.16,429.8,420.9,290181.0
2023-03-13,419.89,424.97,432.34,418.36,346940.0
2023-03-14,423.44,421.16,426.24,418.36,265014.0
2023-03-15,426.49,429.29,433.1,423.44,264096.0
2023-03-16,428.53,422.17,430.05,421.16,211370.0
2023-03-17,424.71,416.58,424.71,416.07,256756.0
2023-03-20,417.85,417.85,424.46,417.09,203266.0
2023-03-21,419.12,420.65,423.44,416.33,169553.0
2023-03-22,421.41,427.76,430.31,421.41,289972.0
2023-03-23,426.75,425.48,429.54,422.94,149157.0
2023-03-24,425.22,430.31,433.61,417.09,523616.0
2023-03-27,431.58,441.49,443.52,430.56,507962.0
2023-03-28,450.38,468.68,468.68,450.38,1035829.0
2023-03-29,475.54,470.97,478.08,463.09,949132.0
2023-03-30,468.43,474.78,477.58,465.38,656460.0
2023-03-31,475.54,483.93,494.1,472.49,866016.0
2023-04-03,480.88,490.28,492.06,480.88,487476.0
2023-04-04,484.95,471.22,485.46,469.7,564182.0
2023-04-06,472.49,471.73,473.76,465.12,464817.0
2023-04-07,471.73,473.76,475.04,465.12,387627.0
2023-04-10,472.24,476.31,477.58,468.94,308529.0
2023-04-11,473.51,475.29,477.32,470.71,323869.0
2023-04-12,475.29,477.58,479.1,469.95,271794.0
2023-04-13,477.58,483.17,494.1,474.78,505016.0
2023-04-14,483.42,488.0,492.06,482.41,336387.0
2023-04-18,472.75,478.85,483.68,467.66,454732.0
2023-04-19,484.95,490.28,492.06,480.12,386379.0
2023-04-20,490.03,493.08,495.88,482.15,316700.0
2023-04-21,493.33,491.3,501.47,489.01,256094.0
2023-04-24,491.3,497.15,500.7,486.22,324479.0
2023-04-25,496.13,489.78,499.43,484.95,282617.0
2023-04-26,497.65,521.8,521.8,494.35,719601.0
2023-04-27,521.8,518.75,523.58,510.36,539019.0
2023-04-28,516.46,513.92,517.48,509.09,460093.0
2023-05-04,512.39,520.78,529.68,512.14,528411.0
2023-05-05,530.95,523.83,532.73,508.58,482341.0
2023-05-08,525.36,525.1,539.33,520.27,507895.0
2023-05-09,523.32,524.09,530.18,515.19,268830.0
2023-05-10,524.59,533.23,536.03,516.71,468316.0
2023-05-11,531.2,512.9,531.2,506.04,645686.0
2023-05-12,512.9,517.22,522.56,511.12,403555.0
2023-05-15,520.02,520.53,524.34,514.68,248467.0
2023-05-16,523.83,515.7,526.88,511.12,209325.0
2023-05-17,516.46,517.73,519.76,512.14,182820.0
2023-05-18,517.22,515.7,520.02,511.12,224532.0
2023-05-19,514.17,510.62,516.21,506.55,273997.0
2023-05-22,510.11,516.21,519.51,501.47,325323.0
2023-05-23,515.95,511.12,520.78,510.87,136592.0
2023-05-24,511.12,516.21,520.27,510.11,156165.0
2023-05-25,514.94,516.46,522.31,509.85,143785.0
2023-05-26,515.95,523.32,523.83,511.89,178944.0
2023-05-29,522.31,521.8,528.66,519.51,181096.0
2023-05-30,521.29,521.29,523.83,514.68,174198.0
2023-05-31,518.75,526.12,527.64,517.99,129295.0
2023-06-01,524.59,525.36,530.95,522.81,161766.0
2023-06-02,524.85,524.09,530.18,522.81,123352.0
2023-06-05,531.2,530.44,538.83,515.19,241255.0
2023-06-06,530.69,521.54,533.49,518.75,166190.0
2023-06-07,524.59,523.83,525.1,516.97,141258.0
2023-06-08,523.58,518.24,523.58,514.68,212235.0
2023-06-09,521.29,527.64,527.64,513.16,475823.0
2023-06-12,526.88,534.25,535.27,521.54,224417.0
2023-06-13,534.51,537.55,538.83,526.12,173394.0
2023-06-14,537.3,536.54,538.06,533.23,113735.0
2023-06-15,537.81,541.62,554.33,536.79,224157.0
2023-06-16,539.08,534.0,543.4,533.49,178070.0
2023-06-19,534.25,536.03,540.1,531.46,182380.0
2023-06-20,536.03,537.3,542.64,532.47,131748.0
2023-06-21,536.54,540.1,544.67,534.25,193970.0
2023-06-26,539.08,532.98,547.47,528.91,234965.0
2023-06-27,534.0,537.81,539.59,527.13,161773.0
2023-06-28,536.54,550.52,551.79,536.54,245219.0
2023-06-29,550.26,562.21,562.97,547.97,232118.0
2023-06-30,560.43,570.59,573.14,559.41,178966.0
2023-07-03,571.36,566.27,579.74,562.72,200271.0
2023-07-04,565.51,577.46,583.56,562.72,234221.0
2023-07-05,580.0,575.93,583.56,572.12,157910.0
2023-07-06,575.93,572.63,582.28,572.12,147231.0
2023-07-07,573.14,575.17,577.2,570.59,116555.0
2023-07-10,572.12,560.68,574.91,559.67,226802.0
2023-07-11,561.7,568.56,571.61,559.92,146830.0
2023-07-12,568.56,560.43,571.61,558.9,170022.0
2023-07-13,559.16,559.41,563.48,556.87,205851.0
2023-07-14,557.89,558.9,564.75,551.28,221430.0
2023-07-17,553.82,556.62,559.41,551.53,216991.0
2023-07-18,558.39,558.14,565.76,556.62,161924.0
2023-07-19,556.36,557.63,562.21,556.36,90758.0
2023-07-20,556.36,548.74,560.68,547.97,164217.0
2023-07-21,553.57,544.42,553.57,541.62,197701.0
2023-07-24,545.18,549.25,552.8,542.89,116999.0
2023-07-25,553.82,551.53,557.38,548.74,140204.0
2023-07-26,551.02,543.65,551.79,542.38,107700.0
2023-07-27,550.01,544.42,551.28,541.11,101143.0
